"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\ui\StepProgress.css", "PostCSS", 0, 0, 6, 0, 0, 1, 7
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\ui\StepProgress.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 2, 21
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\index.css", "PostCSS", 0, 0, 79, 0, 0, 13, 92
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\layouts\MainLayout.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 2, 16
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 2, 11
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\pages\BusinessAffiliationPage.jsx", "JavaScript JSX", 0, 190, 0, 0, 0, 25, 215
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\pages\LandingPage.css", "PostCSS", 0, 0, 40, 0, 0, 7, 47
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\pages\LandingPage.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 5, 52
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\pages\RegisterVolunteerPage.css", "PostCSS", 0, 0, 909, 0, 0, 153, 1062
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\pages\RegisterVolunteerPage.jsx", "JavaScript JSX", 0, 534, 0, 0, 0, 62, 596
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\routes\AppRoutes.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 2, 20
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\services\api.js", "JavaScript", 8, 0, 0, 0, 0, 3, 11
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\services\authService.js", "JavaScript", 7, 0, 0, 0, 0, 3, 10
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\services\businessService.js", "JavaScript", 9, 0, 0, 0, 0, 4, 13
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\services\surplusService.js", "JavaScript", 7, 0, 0, 0, 0, 3, 10
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\services\volunteerService.js", "JavaScript", 10, 0, 0, 0, 0, 5, 15
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\utils\content.js", "JavaScript", 76, 0, 0, 0, 0, 7, 83
"Total", "-", 117, 1431, 2155, 2, 0, 584, 4289
